panel,order,account,mean,median
memory,1,physics,2.90,3.20
memory,2,civil,12.29,4.36
memory,3,access,7.46,4.93
memory,4,psychology,11.81,5.00
memory,5,nyushanghai,9.13,6.14
memory,6,css,10.77,6.48
memory,7,cbs,7.20,6.77
memory,8,ccs,9.56,6.89
memory,9,ecomputer,14.56,7.72
memory,10,scomputer,27.92,20.15
walltime,1,collaborator,13.19,2.19
walltime,2,physics,13.30,2.67
walltime,3,mathematics,12.66,4.91
walltime,4,cbs,6.22,5.14
walltime,5,socialscience,18.16,6.07
walltime,6,css,13.23,6.42
walltime,7,mechanical,14.29,7.53
walltime,8,civil,14.99,9.24
walltime,9,electrical,12.96,9.67
walltime,10,nyushanghai,18.40,16.44
